programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
12348,1933-34,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Hoogstraten, Willem van
12350,1933-34,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Hoogstraten, Willem van
12352,1933-34,51872*,Brahms,  Johannes,SYMPHONY NO. 2 IN D MAJOR, OP. 73,Hoogstraten, Willem van
12353,1933-34,50068*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 5, E MINOR,Hoogstraten, Willem van
12355,1933-34,51807*,Brahms,  Johannes,ACADEMIC FESTIVAL OVERTURE, OP.80,Hoogstraten, Willem van
12356,1933-34,8957*1,Mozart,  Wolfgang  Amadeus,MARRIAGE OF FIGARO, THE,Hoogstraten, Willem van
12358,1933-34,50025*,Tchaikovsky,  Pyotr  Ilyich,ROMEO AND JULIET, FANTASY-OVERTURE,Hoffman, Ernst
12361,1933-34,51870*,Brahms,  Johannes,SYMPHONY NO. 1 IN C MINOR, OP. 68,Hoogstraten, Willem van
12362,1933-34,50025*,Tchaikovsky,  Pyotr  Ilyich,ROMEO AND JULIET, FANTASY-OVERTURE,Hoffman, Ernst
3108,1934-35,73*,Bach,  Johann  Sebastian,PRELUDE & FUGUE, E FLAT MAJOR,Klemperer, Otto
4827,1934-35,73*,Bach,  Johann  Sebastian,PRELUDE & FUGUE, E FLAT MAJOR,Klemperer, Otto
3113,1934-35,52095*,Bruckner,  Anton,SYMPHONY NO. 9, D MINOR,Klemperer, Otto
4831,1934-35,52095*,Bruckner,  Anton,SYMPHONY NO. 9, D MINOR,Klemperer, Otto
7930,1934-35,52095*,Bruckner,  Anton,SYMPHONY NO. 9, D MINOR,Klemperer, Otto
3121,1934-35,52132*,Haydn,  Franz  Joseph,SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL),Klemperer, Otto
4836,1934-35,52132*,Haydn,  Franz  Joseph,SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL),Klemperer, Otto
3123,1934-35,52132*,Haydn,  Franz  Joseph,SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL),Klemperer, Otto
3132,1934-35,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Klemperer, Otto
4843,1934-35,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Klemperer, Otto
3529,1934-35,152*,Holst,  Gustav,FUGAL OVERTURE, A,Lange, Hans
3537,1934-35,51960*,Haydn,  Franz  Joseph,SYMPHONY NO.  57, D MAJOR,Janssen, Werner
3545,1934-35,51960*,Haydn,  Franz  Joseph,SYMPHONY NO.  57, D MAJOR,Janssen, Werner
3561,1934-35,53732*,Prokofiev,  Sergei,SYMPHONY NO. 1, OP. 25 (CLASSICAL),Rodzinski, Artur
5279,1934-35,53732*,Prokofiev,  Sergei,SYMPHONY NO. 1, OP. 25 (CLASSICAL),Rodzinski, Artur
3567,1934-35,53732*,Prokofiev,  Sergei,SYMPHONY NO. 1, OP. 25 (CLASSICAL),Rodzinski, Artur
3573,1934-35,51954*,Strauss,  Richard,HELDENLEBEN, EIN,Rodzinski, Artur
5721,1934-35,51954*,Strauss,  Richard,HELDENLEBEN, EIN,Rodzinski, Artur
3947,1934-35,9510*,Handel,  George  Frideric,CONCERTO, ORGAN,Walter, Bruno
3951,1934-35,9008*2,Wagner,  Richard,PARSIFAL, WWV 111,Walter, Bruno
3957,1934-35,51049*,Mozart,  Wolfgang  Amadeus,CONCERTO, PIANO NO. 20,Walter, Bruno
5726,1934-35,9510*,Handel,  George  Frideric,CONCERTO, ORGAN,Walter, Bruno
3964,1934-35,8868*1,Wagner,  Richard,FLIEGENDE HOLLANDER [HOLLÄNDER], DER,Walter, Bruno
3971,1934-35,53068*,Schumann,  Robert,SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING),Walter, Bruno
5730,1934-35,50564*,Wagner,  Richard,FAUST OVERTURE, WWV 59,Walter, Bruno
3979,1934-35,50564*,Wagner,  Richard,FAUST OVERTURE, WWV 59,Walter, Bruno
6556,1934-35,51759*,Roussel,  Albert,SYMPHONY NO. 3, G MINOR,Walter, Bruno
6563,1934-35,8955*1,Mozart,  Wolfgang  Amadeus,MAGIC FLUTE, THE,Walter, Bruno
6574,1934-35,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Walter, Bruno
895,1934-35,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Walter, Bruno
6579,1934-35,51049*,Mozart,  Wolfgang  Amadeus,CONCERTO, PIANO NO. 20,Walter, Bruno
6586,1934-35,8957*1,Mozart,  Wolfgang  Amadeus,MARRIAGE OF FIGARO, THE,Lange, Hans
6590,1934-35,430*,Bruckner,  Anton,SYMPHONY NO. 7, E MAJOR,Toscanini, Arturo
902,1934-35,430*,Bruckner,  Anton,SYMPHONY NO. 7, E MAJOR,Toscanini, Arturo
6594,1934-35,53941*,Handel,  George  Frideric,CONCERTO GROSSO, OP. 6,Toscanini, Arturo
1307,1934-35,51701*1,Rossini,  Gioachino,ITALIANA IN ALGERI, L',Toscanini, Arturo
6963,1934-35,51701*1,Rossini,  Gioachino,ITALIANA IN ALGERI, L',Toscanini, Arturo
6977,1934-35,8868*1,Wagner,  Richard,FLIEGENDE HOLLANDER [HOLLÄNDER], DER,Toscanini, Arturo
6982,1934-35,51892*,Brahms,  Johannes,VARIATIONS ON A THEME BY HAYDN, OP. 56A,Toscanini, Arturo
3671,1934-35,52122*5,Haydn,  Franz  Joseph,SYMPHONY NO. 100, G MAJOR (MILITARY),Schelling, Ernest
6989,1934-35,398*,Brahms,  Johannes,TRAGIC OVERTURE, OP. 81,Toscanini, Arturo
3675,1934-35,6232*1,MacDowell,  Edward  A.,ROLAND SYMPHONY, TWO FRAGMENTS,Schelling, Ernest
40,1934-35,51812*,Brahms,  Johannes,REQUIEM, DEUTSCHES,Toscanini, Arturo
13822,1934-35,5099*,Beethoven,  Ludwig  van,CONSECRATION OF THE HOUSE OVERTURE, OP. 124,Hrdliczka, Gertrud
48,1934-35,51861*1,Brahms,  Johannes,SERENADE NO. 1 IN D MAJOR, OP. 11,Toscanini, Arturo
69,1934-35,51864*,Brahms,  Johannes,SERENADE NO. 2 IN A MAJOR, OP. 16,Toscanini, Arturo
1780,1934-35,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Toscanini, Arturo
441,1934-35,51861*,Brahms,  Johannes,SERENADE NO. 1 IN D MAJOR, OP. 11,Toscanini, Arturo
445,1934-35,51701*1,Rossini,  Gioachino,ITALIANA IN ALGERI, L',Toscanini, Arturo
449,1934-35,8863*1,Mozart,  Wolfgang  Amadeus,CLEMENZA DI TITO, LA,Janssen, Werner
456,1934-35,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Janssen, Werner
2239,1934-35,51884*,Brahms,  Johannes,SYMPHONY NO. 4 IN E MINOR, OP. 98,Toscanini, Arturo
