programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
3853,1842-43,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Hill, Ureli Corelli
5178,1842-43,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Hill, Ureli Corelli
10785,1842-43,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Hill, Ureli Corelli
5887,1842-43,52434*,Beethoven,  Ludwig  van,SYMPHONY NO. 2 IN D MAJOR, OP.36,Boucher, Alfred
305,1843-44,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Hill, Ureli Corelli
3368,1843-44,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Etienne, Denis G.
4226,1843-44,3707*,Spohr,  Louis,SYMPHONY NO. 2, D MINOR,Loder, George
5087,1843-44,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Alpers, William
6310,1844-45,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Loder, George
1979,1844-45,51727*,Haydn,  Franz  Joseph,SYMPHONY NO.   3, G MAJOR,Hill, Ureli Corelli
2821,1844-45,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Wiegers, Louis
3259,1844-45,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Hill, Ureli Corelli
4919,1845-46,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Loder, George
562,1845-46,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Hill, Ureli Corelli
1851,1845-46,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Timm, Henry C.
2321,1845-46,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Hill, Ureli Corelli
3540,1846-47,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Loder, George
6573,1846-47,51658*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 39, E-FLAT MAJOR,Timm, Henry C.
47,1846-47,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Boucher, Alfred
450,1846-47,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Hill, Ureli Corelli
2178,1847-48,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Loder, George
5195,1847-48,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Loder, George
10581,1847-48,52437*2,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Macfarren, George Alexander;  Loder
6064,1847-48,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Loder, George
6493,1847-48,3936*,Spohr,  Louis,SYMPHONY NO. 1, E FLAT MAJOR,Timm, Henry C.
1171,1848-49,923*,Gade,  Niels,SYMPHONY NO. 1, C MINOR,Loder, George
2607,1848-49,3967*,Spohr,  Louis,SYMPHONY NO. 7, OP. 121 FOR TWO ORCHESTRAS,Loder, George
3931,1848-49,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Eisfeld, Theodore
7278,1849-50,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Eisfeld, Theodore
571,1849-50,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Loder, George
1907,1849-50,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Eisfeld, Theodore
6269,1849-50,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Eisfeld, Theodore
792,1850-51,923*,Gade,  Niels,SYMPHONY NO. 1, C MINOR,Loder, George
1443,1850-51,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Eisfeld, Theodore
2806,1850-51,52434*,Beethoven,  Ludwig  van,SYMPHONY NO. 2 IN D MAJOR, OP.36,Eisfeld, Theodore
7161,1850-51,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Eisfeld, Theodore
1666,1851-52,52577*,Mendelssohn,  Felix,SYMPHONY NO. 4, A MAJOR,Eisfeld, Theodore
2377,1851-52,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Loder, George
6717,1851-52,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Eisfeld, Theodore
682,1851-52,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Eisfeld, Theodore
2574,1852-53,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Eisfeld, Theodore
3266,1852-53,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Eisfeld, Theodore
4607,1852-53,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Eisfeld, Theodore
1583,1852-53,53068*,Schumann,  Robert,SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING),Eisfeld, Theodore
513,1853-54,4176*,Spohr,  Louis,SYMPHONY NO. 9, D MAJOR,Eisfeld, Theodore
1191,1853-54,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Eisfeld, Theodore
2561,1853-54,4198*,Gade,  Niels,SYMPHONY NO. 4, B FLAT MAJOR,Eisfeld, Theodore
6902,1853-54,4223*,Schneider,  Johann  C. Friedrich,SYMPHONY NO. 20, B MAJOR,Eisfeld, Theodore
5792,1854-55,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Eisfeld, Theodore
2149,1854-55,52577*,Mendelssohn,  Felix,SYMPHONY NO. 4, A MAJOR,Eisfeld, Theodore
3474,1854-55,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Timm, Henry C.
421,1854-55,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Bergmann, Carl
2339,1855-56,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Bergmann, Carl
3023,1855-56,923*,Gade,  Niels,SYMPHONY NO. 1, C MINOR,Bergmann, Carl
4355,1855-56,4330*,Bristow,  George  Frederick,SYMPHONY NO. 2, D MINOR,Bergmann, Carl
1292,1855-56,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Bergmann, Carl
3225,1856-57,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Eisfeld, Theodore
3918,1856-57,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Eisfeld, Theodore
5264,1856-57,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Eisfeld, Theodore
2244,1856-57,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Eisfeld, Theodore
4134,1857-58,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Eisfeld, Theodore
4814,1857-58,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Eisfeld, Theodore
6185,1857-58,4434*,Hiller,  Ferdinand,SYMPHONY , E MAJOR,Eisfeld, Theodore
3150,1857-58,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Eisfeld, Theodore
2117,1858-59,4452*,Gade,  Niels,SYMPHONY NO. 5, D MINOR,Bergmann, Carl
2785,1858-59,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Bergmann, Carl
7145,1858-59,52135*,Haydn,  Franz  Joseph,SYMPHONY NO. 104, D MAJOR (LONDON),Bergmann, Carl
4122,1858-59,4497*,Bristow,  George  Frederick,SYMPHONY NO. 3, F SHARP MINOR,Bergmann, Carl
1083,1858-59,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Bergmann, Carl
3007,1859-60,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Bergmann, Carl
3679,1859-60,3864*4,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Eisfeld, Theodore
663,1859-60,52577*,Mendelssohn,  Felix,SYMPHONY NO. 4, A MAJOR,Eisfeld, Theodore
5011,1859-60,52434*,Beethoven,  Ludwig  van,SYMPHONY NO. 2 IN D MAJOR, OP.36,Bergmann, Carl
2014,1859-60,8955*1,Mozart,  Wolfgang  Amadeus,MAGIC FLUTE, THE,Eisfeld, Theodore
3879,1860-61,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Eisfeld, Theodore
858,1860-61,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Bergmann, Carl
1541,1860-61,53072*,Schumann,  Robert,SYMPHONY NO. 3, E FLAT MAJOR,Eisfeld, Theodore
5937,1860-61,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Bergmann, Carl
2887,1860-61,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Eisfeld, Theodore
4794,1861-62,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Bergmann, Carl
1738,1861-62,51642*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 35, D MAJOR,Eisfeld, Theodore
2457,1861-62,53078*,Schumann,  Robert,SYMPHONY NO. 4, D MINOR,Bergmann, Carl
6795,1861-62,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Eisfeld, Theodore
3788,1861-62,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Eisfeld, Theodore
2737,1862-63,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Eisfeld, Theodore
7100,1862-63,923*,Gade,  Niels,SYMPHONY NO. 1, C MINOR,Eisfeld, Theodore
3446,1862-63,53068*,Schumann,  Robert,SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING),Eisfeld, Theodore
4783,1862-63,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Eisfeld, Theodore
1726,1862-63,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Bergmann, Carl
3648,1863-64,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Bergmann, Carl
618,1863-64,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Eisfeld, Theodore
5659,1863-64,52120*,Haydn,  Franz  Joseph,SYMPHONY NO.  99, E FLAT MAJOR,Eisfeld, Theodore
4442,1863-64,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Eisfeld, Theodore
2625,1863-64,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Bergmann, Carl
4537,1864-65,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Bergmann, Carl
1487,1864-65,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Eisfeld, Theodore
5230,1864-65,53068*,Schumann,  Robert,SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING),Eisfeld, Theodore
6560,1864-65,52132*,Haydn,  Franz  Joseph,SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL),Bergmann, Carl
3526,1864-65,52437*2,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Eisfeld, Theodore
5442,1865-66,53078*,Schumann,  Robert,SYMPHONY NO. 4, D MINOR,Bergmann, Carl
2423,1865-66,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Bergmann, Carl
6144,1865-66,51654*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 38, D MAJOR,Bergmann, Carl
76,1865-66,53072*,Schumann,  Robert,SYMPHONY NO. 3, E FLAT MAJOR,Bergmann, Carl
4433,1865-66,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Bergmann, Carl
3403,1866-67,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Bergmann, Carl
349,1866-67,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Bergmann, Carl
4096,1866-67,4879*,Volkmann,  Friedrich  Robert,SYMPHONY, D MINOR,Bergmann, Carl
5423,1866-67,8955*1,Mozart,  Wolfgang  Amadeus,MAGIC FLUTE, THE,Bergmann, Carl
2397,1866-67,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Bergmann, Carl
6733,1866-67,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Bergmann, Carl
4299,1867-68,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Bergmann, Carl
1229,1867-68,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Bergmann, Carl
6303,1867-68,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Bergmann, Carl
3291,1867-68,53068*,Schumann,  Robert,SYMPHONY NO. 1 IN B FLAT MAJOR, OP.38 (SPRING),Bergmann, Carl
5193,1868-69,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Bergmann, Carl
2845,1868-69,52581*,Mendelssohn,  Felix,SYMPHONY NO. 5, D MAJOR,Bergmann, Carl
7193,1868-69,1867*1,Bach,  Johann  Sebastian,SUITE NO. 3, D MAJOR,Bergmann, Carl
4196,1868-69,51123*,Liszt,  Franz,IDEALE, DIE (SYMPHONIC POEM NO. 12),Bergmann, Carl
6098,1869-70,51658*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 39, E-FLAT MAJOR,Bergmann, Carl
6753,1869-70,5266*,Raff,  Joachim,SYMPHONY NO. 2, C MAJOR,Bergmann, Carl
3737,1869-70,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Bergmann, Carl
710,1869-70,8955*1,Mozart,  Wolfgang  Amadeus,MAGIC FLUTE, THE,Bergmann, Carl
2096,1869-70,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Bergmann, Carl
6945,1870-71,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Bergmann, Carl
5760,1870-71,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Bergmann, Carl
273,1870-71,9024*,Rubinstein,  Anton,SYMPHONY NO. 2, C MAJOR,Bergmann, Carl
4634,1870-71,51642*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 35, D MAJOR,Bergmann, Carl
1613,1870-71,53072*,Schumann,  Robert,SYMPHONY NO. 3, E FLAT MAJOR,Bergmann, Carl
6034,1870-71,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Bergmann, Carl
2993,1870-71,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Bergmann, Carl
1901,1871-72,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Bergmann, Carl
5615,1871-72,9187*1,Weber,  Carl  Maria Von,EURYANTHE, OP. 81,Bergmann, Carl
2591,1871-72,53078*,Schumann,  Robert,SYMPHONY NO. 4, D MINOR,Bergmann, Carl
6927,1871-72,5035*,Ritter,  Frederic  Louis,SYMPHONY NO. 2, E MINOR,Bergmann, Carl
3925,1871-72,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Bergmann, Carl
894,1871-72,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Bergmann, Carl
5828,1872-73,9003*6,Wagner,  Richard,TANNHAUSER, WWV 70,Bergmann, Carl
2804,1872-73,5084*,Raff,  Joachim,SYMPHONY NO. 4, G MINOR,Bergmann, Carl
3498,1872-73,5106*,Gade,  Niels,SYMPHONY NO. 8, B MINOR,Bergmann, Carl
437,1872-73,52092*,Haydn,  Franz  Joseph,SYMPHONY NO.  92, G MAJOR (OXFORD),Bergmann, Carl
4822,1872-73,53058*,Schumann,  Robert,OVERTURE, SCHERZO,Bergmann, Carl
6713,1873-74,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Bergmann, Carl
3697,1873-74,52577*,Mendelssohn,  Felix,SYMPHONY NO. 4, A MAJOR,Bergmann, Carl
1328,1873-74,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Bergmann, Carl
5735,1873-74,5171*,Grimm,  Julius  Otto,SUITE NO. 2, OP. 16,Bergmann, Carl
238,1874-75,52449*,Beethoven,  Ludwig  van,SYMPHONY NO. 6 IN F MAJOR, OP.68 (PASTORAL),Bergmann, Carl
4603,1874-75,53072*,Schumann,  Robert,SYMPHONY NO. 3, E FLAT MAJOR,Bergmann, Carl
907,1874-75,52103*,Haydn,  Franz  Joseph,SYMPHONY NO.  95, C MINOR,Bergmann, Carl
5295,1874-75,5212*,Spohr,  Louis,SYMPHONY NO. 3, C MINOR,Bergmann, Carl
2273,1874-75,51654*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 38, D MAJOR,Bergmann, Carl
6639,1874-75,878*1,Schumann,  Robert,MANFRED, OP.115,Bergmann, Carl
2558,1875-76,3864*,Spohr,  Louis,SYMPHONY NO. 4, OP. 86 (DIE WEIHE DER TONE),Bergmann, Carl
6264,1875-76,52120*,Haydn,  Franz  Joseph,SYMPHONY NO.  99, E FLAT MAJOR,Bergmann, Carl
212,1875-76,5266*,Raff,  Joachim,SYMPHONY NO. 2, C MAJOR,Matzka, George
4583,1875-76,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Matzka, George
6488,1876-77,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Damrosch, Leopold
11474,1876-77,1587*,Chopin,  Frédéric,CONCERTO, PIANO,Schmelz, Reinhard
3469,1876-77,53071*,Schumann,  Robert,SYMPHONY NO. 2, C MAJOR,Damrosch, Leopold
7159,1876-77,50506*,Goldmark,  Karl,RUSTIC WEDDING SYMPHONY, OP. 26,Damrosch, Leopold
1105,1876-77,52132*,Haydn,  Franz  Joseph,SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL),Damrosch, Leopold
4353,1877-78,51870*,Brahms,  Johannes,SYMPHONY NO. 1 IN C MINOR, OP. 68,Thomas, Theodore
680,1877-78,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Thomas, Theodore
5040,1877-78,51654*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 38, D MAJOR,Thomas, Theodore
2052,1877-78,53058*,Schumann,  Robert,OVERTURE, SCHERZO,Thomas, Theodore
6383,1877-78,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Thomas, Theodore
8764,1878-79,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Damrosch, Leopold
886,1878-79,51872*,Brahms,  Johannes,SYMPHONY NO. 2 IN D MAJOR, OP. 73,Neuendorff, Adolph
2580,1878-79,52076*,Haydn,  Franz  Joseph,SYMPHONY NO.  88, G MAJOR,Damrosch, Leopold
5260,1878-79,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Neuendorff, Adolph
2703,1878-79,2819*,Schubert,  Franz,SYMPHONY NO. 8, B MINOR,Damrosch, Leopold
1577,1878-79,53072*,Schumann,  Robert,SYMPHONY NO. 3, E FLAT MAJOR,Neuendorff, Adolph
2829,1878-79,52747*,Saint-Saens [Saint-Saëns],  Camille,SYMPHONY NO. 2, OP. 55,Damrosch, Leopold
5980,1878-79,52577*,Mendelssohn,  Felix,SYMPHONY NO. 4, A MAJOR,Neuendorff, Adolph
2877,1878-79,1965*1,Cherubini,  Luigi,ANACRÉON, OU L’AMOUR FUGITIF,Damrosch, Leopold
2945,1878-79,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Neuendorff, Adolph
3653,1878-79,9003*7,Wagner,  Richard,TANNHAUSER, WWV 70,Damrosch, Leopold
7294,1878-79,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Neuendorff, Adolph
3750,1879-80,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Damrosch, Leopold
6236,1879-80,2345*,Berlioz,  Hector,KING LEAR OVERTURE, OP. 4,Thomas, Theodore
3207,1879-80,5099*,Beethoven,  Ludwig  van,CONSECRATION OF THE HOUSE OVERTURE, OP. 124,Thomas, Theodore
4793,1879-80,50043*,Tchaikovsky,  Pyotr  Ilyich,SUITE NO. 1, D MINOR,Damrosch, Leopold
6899,1879-80,1965*1,Cherubini,  Luigi,ANACRÉON, OU L’AMOUR FUGITIF,Thomas, Theodore
4813,1879-80,51306*,Berlioz,  Hector,DAMNATION DE FAUST, LA,Damrosch, Leopold
3895,1879-80,51288*,Mozart,  Wolfgang  Amadeus,ADAGIO AND FUGUE, STRING QUARTET,Thomas, Theodore
4916,1879-80,7214*,Goldmark,  Karl,PENTHESILEA OVERTURE, OP. 31,Damrosch, Leopold
5810,1879-80,52461*,Beethoven,  Ludwig  van,SYMPHONY NO. 9 IN D MINOR, OP.125,Damrosch, Leopold
5245,1879-80,5407*,Bach,  Johann  Sebastian,FANTASIA AND FUGUE, CHROMATIC,Thomas, Theodore
5850,1880-81,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Damrosch, Leopold
7140,1880-81,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Thomas, Theodore
6007,1880-81,51306*,Berlioz,  Hector,DAMNATION DE FAUST, LA,Damrosch, Leopold
4118,1880-81,52361*,Beethoven,  Ludwig  van,CORIOLAN OVERTURE, OP. 62,Thomas, Theodore
6019,1880-81,52440*,Beethoven,  Ludwig  van,SYMPHONY NO. 4 IN B FLAT MAJOR, OP.60,Damrosch, Leopold
415,1880-81,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Thomas, Theodore
6721,1880-81,53078*,Schumann,  Robert,SYMPHONY NO. 4, D MINOR,Damrosch, Leopold
6866,1880-81,8955*1,Mozart,  Wolfgang  Amadeus,MAGIC FLUTE, THE,Damrosch, Leopold
1751,1880-81,5428*,Rheinberger,  Joseph,OVERTURE TO SCHILLER'S DEMETRIUS, OP. 110,Thomas, Theodore
6939,1880-81,8868*1,Wagner,  Richard,FLIEGENDE HOLLANDER [HOLLÄNDER], DER,Damrosch, Leopold
6165,1880-81,51872*,Brahms,  Johannes,SYMPHONY NO. 2 IN D MAJOR, OP. 73,Thomas, Theodore
6976,1881-82,52361*,Beethoven,  Ludwig  van,CORIOLAN OVERTURE, OP. 62,Damrosch, Leopold
656,1881-82,398*,Brahms,  Johannes,TRAGIC OVERTURE, OP. 81,Thomas, Theodore
8016,1881-82,7732*,Schubert,  Franz,QUINTET, STRINGS,Damrosch, Leopold
5007,1881-82,52760*1,Schubert,  Franz,ROSAMUNDE: INCIDENTAL MUSIC, D.797,Thomas, Theodore
8017,1881-82,52575*,Mendelssohn,  Felix,SYMPHONY NO. 3, A MINOR,Damrosch, Leopold
1289,1881-82,52135*,Haydn,  Franz  Joseph,SYMPHONY NO. 104, D MAJOR (LONDON),Thomas, Theodore
8018,1881-82,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Damrosch, Leopold
5703,1881-82,51642*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 35, D MAJOR,Thomas, Theodore
8019,1881-82,9004*14,Wagner,  Richard,TRISTAN UND ISOLDE, WWV 90,Damrosch, Leopold
2672,1881-82,52994*,Schumann,  Robert,GENOVEVA OVERTURE, OP. 81,Thomas, Theodore
8020,1881-82,52389*,Beethoven,  Ludwig  van,LEONORE OVERTURE NO. 3, OP. 72B,Damrosch, Leopold
7006,1881-82,5099*,Beethoven,  Ludwig  van,CONSECRATION OF THE HOUSE OVERTURE, OP. 124,Thomas, Theodore
8021,1882-83,5099*,Beethoven,  Ludwig  van,CONSECRATION OF THE HOUSE OVERTURE, OP. 124,Damrosch, Leopold
5932,1882-83,51668*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 41, C MAJOR,Thomas, Theodore
8022,1882-83,50270*,Bruch,  Max,SYMPHONY NO. 3, E MAJOR,Damrosch, Leopold
2238,1882-83,53338*,Dvorak,  Antonín,SYMPHONY NO. 6, D MAJOR,Thomas, Theodore
8023,1882-83,52361*,Beethoven,  Ludwig  van,CORIOLAN OVERTURE, OP. 62,Damrosch, Leopold
6599,1882-83,52132*,Haydn,  Franz  Joseph,SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL),Thomas, Theodore
8025,1882-83,52434*,Beethoven,  Ludwig  van,SYMPHONY NO. 2 IN D MAJOR, OP.36,Damrosch, Leopold
3574,1882-83,50564*,Wagner,  Richard,FAUST OVERTURE, WWV 59,Thomas, Theodore
8026,1882-83,51306*,Berlioz,  Hector,DAMNATION DE FAUST, LA,Damrosch, Leopold
528,1882-83,4818*,Bargiel,  Woldemar,MEDEA, OP. 22,Thomas, Theodore
8027,1882-83,52076*,Haydn,  Franz  Joseph,SYMPHONY NO.  88, G MAJOR,Damrosch, Leopold
8028,1883-84,1965*1,Cherubini,  Luigi,ANACRÉON, OU L’AMOUR FUGITIF,Damrosch, Leopold
8029,1883-84,50057*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 2, C MINOR,Damrosch, Leopold
3868,1883-84,5517*,Goetz,  Hermann,SYMPHONY, F MAJOR,Thomas, Theodore
8030,1883-84,51658*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 39, E-FLAT MAJOR,Damrosch, Leopold
8031,1883-84,3167*1,Beethoven,  Ludwig  van,KING STEPHEN, OP. 117,Damrosch, Leopold
8032,1883-84,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Damrosch, Leopold
1508,1883-84,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Thomas, Theodore
8033,1883-84,53058*,Schumann,  Robert,OVERTURE, SCHERZO,Damrosch, Leopold
5910,1883-84,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Thomas, Theodore
378,1884-85,51880*,Brahms,  Johannes,SYMPHONY NO. 3 IN F MAJOR, OP. 90,Thomas, Theodore
8034,1884-85,52456*,Beethoven,  Ludwig  van,SYMPHONY NO. 8 IN F MAJOR, OP.93,Damrosch, Leopold
